tweet_id,airline,airline_sentiment,text_clean
570124596180955136,Virgin America,neutral,virginamerica lax to ewr  middle seat on a red eye such a noob maneuver sendambien andchexmix
570114021854212096,Virgin America,negative,virginamerica hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems 
570094701371469825,Virgin America,neutral,virginamerica are the hours of operation for the club at sfo that are posted online current
570088404156698625,Virgin America,negative,virginamerica help left expensive headphones on flight 89 iad to lax today seat 2a no one answering lampf number at lax
570084582780899328,Virgin America,negative,virginamerica awaiting my return phone call just would prefer to use your online selfservice option 
570076792993611776,Virgin America,positive,virginamerica this is great news  america could start flights to hawaii by end of year httptcor8p2zy3fe4 via pacificbiznews
570051991277342720,Virgin America,neutral,nice rt virginamerica vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience httptcoy7o0unxtqp
570051381534396416,Virgin America,positive,virginamerica moodlighting is the only way to fly best experience ever cool and calming  moodlitmonday
570045393565691904,Virgin America,positive,virginamerica freddieawards done and done best airline around hands down
570038941497192448,Virgin America,neutral,virginamerica when can i book my flight to hawaii
570035876845084672,Virgin America,negative,virginamerica your chat support is not working on your site httptcovhp2gtdwpk
570033593394667521,Virgin America,positive,virginamerica view of downtown los angeles the hollywood sign and beyond that rain in the mountains httptcodw5nf0ibtr
570025482344898560,Virgin America,negative,virginamerica hey first time flyer next week  excited but im having a hard time getting my flights added to my elevate account help
570016304284901379,Virgin America,neutral,virginamerica plz help me win my bid upgrade for my flight 227 laxgtsea  
570015408788414464,Virgin America,neutral,virginamerica i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires travelhelp
570013523650048002,Virgin America,neutral,virginamerica are flights leaving dallas for seattle on time feb 24
570012257549070337,Virgin America,positive,virginamerica im elevategold for a good reason you rock
570011341483843584,Virgin America,neutral,virginamerica  dream httptcooa2drfaoq2 httptcolwwdac2khx
570010571707256832,Virgin America,positive,virginamerica wow this just blew my mind
570010539499393025,Virgin America,neutral,virginamerica ladygaga carrieunderwood after last night tribute soundofmusic oscars2015 ladygaga i think carrieunderwood agree
570009713447825408,Virgin America,neutral,virginamerica ladygaga carrieunderwood all were entertaining
570009035455344640,Virgin America,neutral,virginamerica is flight 769 on its way was supposed to take off 30 minutes ago website still shows on time not in flight thanks
570006886012973056,Virgin America,positive,virginamerica ladygaga carrieunderwood julie andrews all the way though ladygaga was very impressive no to carrieunderwood
570004391731847169,Virgin America,neutral,virginamerica wish you flew out of atlanta soon
570001194900426752,Virgin America,neutral,virginamerica ladygaga carrieunderwood julie andrews hands down
570000071644872704,Virgin America,neutral,virginamerica will flights be leaving dallas for la on february 24th
569996412286582784,Virgin America,negative,virginamerica hi im so excited about your 99 lgagtdal deal but ive been trying 2 book since last week amp the page never loads thx
569996245462159361,Virgin America,positive,virginamerica you know it need it on my spotify stat guiltypleasures
569990222609412097,Virgin America,positive,virginamerica ladygaga carrieunderwood  im lady gaga she is amazing 
569990163209850881,Virgin America,neutral,virginamerica ladygaga carrieunderwood  carrie
569989504431316993,Virgin America,neutral,virginamerica new marketing song httpstcof2lfulcbq7 let us know what you think
569989321698074624,Virgin America,neutral,virginamerica ladygaga carrieunderwood julie andrews first but lady gaga wowd me last night carrie meh
569989034501500928,Virgin America,negative,virginamerica i called a 34 weeks ago about adding 3 flights from 2014 to my elevatethey still havent shown uphelp
569987622484848640,Virgin America,neutral,virginamerica ladygaga carrieunderwood all are great  but i have to go with carrieunderwood 
569986782567071744,Virgin America,neutral,virginamerica ladygaga carrieunderwood sorry mary martin had it first
569986348041547778,Virgin America,positive,virginamerica ladygaga carrieunderwood  love all three but you really cant beat the classics
569982307634794497,Virgin America,neutral,virginamerica flight 0736 dal to dca 224 210pm tried to check in could not status please
569976620158578688,Virgin America,negative,virginamerica heyyyy guyyyys been trying to get through for an hour can someone call me please 
569973821396152323,Virgin America,negative,virginamerica hi virgin im on hold for 4050 minutes  are there any earlier flights from la to nyc tonight earlier than 1150pm
569972508499283968,Virgin America,positive,virginamerica congrats on winning the travelzoo award for best deals from an airline us httptcokj1iljaebv
569967019958730753,Virgin America,negative,virginamerica everything was fine until you lost my bag
569961866224652288,Virgin America,neutral,virginamerica need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online
569949891163615232,Virgin America,neutral,virginamerica i emailed your customer service team let me know if you need the tracking number
569948966873370625,Virgin America,neutral,virginamerica hi i just booked a flight but need to add baggage how can i do this
569946362126602240,Virgin America,negative,virginamerica your airline is awesome but your lax loft needs to step up its game 40 for dirty tables and floors httptcohy0vrfhjht
569942903683813376,Virgin America,positive,virginamerica not worried its been a great ride in a new plane with great crew all airlines should be like this
569941957490774016,Virgin America,positive,virginamerica awesome i flew yall sat morning any way we can correct my bill 
569940834994401280,Virgin America,neutral,virginamerica or watch some of the best student films in the country at 35000 feet cmfat35000feet httptcokek5pdmgif
569940323746516993,Virgin America,neutral,virginamerica first time flying you all do you have a different ratepolicy for media bags thanks
569935232033366017,Virgin America,negative,virginamerica what is going on with customer service is there anyway to speak to a human asap thank you
569934395865493504,Virgin America,neutral,virginamerica what happened to doom
569933816963342337,Virgin America,negative,virginamerica why cant you supp the biz traveler like southwestair  and have customer service like jetblue neverflyvirginforbusiness
569933777931145216,Virgin America,positive,virginamerica ive applied more then once to be a member of the inflight crew teamim 100 interested flightattendant dreampath g
569933405506310144,Virgin America,negative,virginamerica youre the best whenever i begrudgingly use any other airline im delayed and late flight 
569933360564342784,Virgin America,negative,virginamerica i have no interesting flying with you after this i will cancelled flight my next four flights i plannedneverflyvirginforbusiness
569929243146088448,Virgin America,negative,virginamerica it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin
569926998824394752,Virgin America,negative,virginamerica im having trouble adding this flight my wife booked to my elevate account help httptcopx8hqoks3r
569923394990419968,Virgin America,neutral,virginamerica cant bring up my reservation online using flight booking problems code
569922008588222465,Virgin America,neutral,virginamerica random q whats the distribution of elevate avatars i bet that kitty has a disproportionate share httptcoaptzpurop4
569920824905306113,Virgin America,neutral,virginamerica i lt3 flying va but life happens and i am trying to change my trip jperhi  can you helpva home page will not let me 
569919041244147712,Virgin America,negative,virginamerica why is the site down  when will it be back up
569915941192015872,Virgin America,neutral,virginamerica you down with rnp yeah you know me
569913339427434496,Virgin America,neutral,virginamerica hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account
569911816937033728,Virgin America,negative,virginamerica i like the tv and interesting video  just disappointed in cancelled flightled flight when other flights went out to jfk on saturday 
569911674158731264,Virgin America,negative,virginamerica just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin
569911218942517248,Virgin America,neutral,virginamerica why is flight 345 redirected
569910981868060673,Virgin America,negative,virginamerica is it me or is your website down  btw your new website isnt a great user experience  time for another redesign
569909224521641984,Virgin America,negative,virginamerica i cant check in or add a bag your website isnt working ive tried both desktop and mobile httptcoavyqdmpi1y
569907336485019648,Virgin America,negative,virginamerica  let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin uncomfortable
569896805611089920,Virgin America,negative,virginamerica what is your phone number i cant find who to call about a flight reservation
569894449620369408,Virgin America,negative,virginamerica is anyone doing anything there today  website is useless and no one is answering the phone
569894407001939968,Virgin America,neutral,virginamerica trying to add my boy prince to my ressie sf this thursday virginamerica from lax httptcogsb2j3c4gm
569892199690678272,Virgin America,negative,virginamerica why must a traveler miss a flight to late flight check a bag  i missed my morning appointments and you lost my business sfo2lax
569891469210755074,Virgin America,neutral,virginamerica check out new music httptcomarcnocwzn
569891436100874241,Virgin America,negative,virginamerica hows a direct flight fllgtsfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight sneaky
569887310713479168,Virgin America,negative,virginamerica your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp
569887049446076416,Virgin America,positive,virginamerica  amazing customer  service again  raeann in sf  shes the best customerservice virginamerica flying
569884551712886785,Virgin America,negative,virginamerica called your service line and was hung up on this is awesome sarcasm
569884407852437504,Virgin America,negative,virginamerica your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info
569881548515708928,Virgin America,neutral,virginamerica i was scheduled for sfo 2 dal flight 714 today changed to 24th due weather looks like flight still on
569873669700358144,Virgin America,positive,virginamerica has getaway deals through may from 59 oneway lots of cool cities httptcotzzjhuibch cheapflights farecompare
569873668131717120,Virgin America,neutral,virginamerica has getaway deals through may from 59 oneway lots of cool cities httptcorpdbpx3wnd cheapflights farecompare
569873665640292353,Virgin America,positive,virginamerica has getaway deals through may from 59 oneway lots of cool cities httptcob2xi4yg5t8 cheapflights farecompare
569873664612704256,Virgin America,neutral,virginamerica has getaway deals through may from 59 oneway lots of cool cities httptcoqdljhsloi5 cheapflights farecompare
569872058613673984,Virgin America,positive,virginamerica have a great week 
569861209781989377,Virgin America,positive,virginamerica come back to phl already we need you to take us out of this horrible cold pleasecomeback httptcoglxfwp6nqh
569847920192655361,Virgin America,negative,virginamerica should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop
569814339785338880,Virgin America,positive,virginamerica is the best airline i have flown oneasy to change your reservationhelpful representatives amp a comfortable flying experience
569777607371128834,Virgin America,positive,virginamerica and again another rep kicked butt naelah represents your team so beautifully thank you
569774078233419776,Virgin America,positive,virginamerica your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure
569770363623575552,Virgin America,positive,virginamerica love the team running gate e9 at las tonight waited for a delayed flight and they kept things entertaining
569748316776325120,Virgin America,negative,virginamerica use another browser 2015 amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website
569741221783957504,Virgin America,negative,virginamerica and now the flight flight booking problems site is totally down folks what is the problem
569737603617943552,Virgin America,negative,virginamerica i like the customer service but a 40 min delay just for connecting passengers seems too long va370
569714127792254976,Virgin America,positive,virginamerica thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight
569675144353828864,Virgin America,positive,virginamerica you have the absolute best team and customer service ever  every time i fly with you im delighted  thank you
569674358135914496,Virgin America,neutral,virginamerica do you provide complimentary upgrades to first class if there are available seats
569666477265018881,Virgin America,negative,virginamerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone im calling intern help
569652497947734017,Virgin America,positive,virginamerica completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time vabeatsjblue
569649116487290880,Virgin America,neutral,virginamerica how can i watch the oscars2015 on my jfkgtsfo flight
569643262459269120,Virgin America,neutral,virginamerica is flight 882 cancelled flightled and what do i do if it is
569642845516275712,Virgin America,negative,virginamerica you are failing your customers because your check in process does not link to tsa precheck
569634318349246464,Virgin America,negative,virginamerica fidifamilies us too terrible airline just gave us a hotel hotline number and said sorry
569633630978310145,Virgin America,neutral,virginamerica has flight number 276 from sfo to cabo san lucas arrived yet
569633279546036224,Virgin America,negative,virginamerica chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline  shame on you
569630092273410048,Virgin America,negative,virginamerica another delayed flight likingyoulessandless
569627480425766912,Virgin America,negative,virginamerica i need to register a service dog for a first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise
569625739231948800,Virgin America,positive,virginamerica you rock for making it so i can watch oscars on my flight redcarpet oscars oscars2015
569625609799774208,Virgin America,neutral,virginamerica reallytallchris dropped a track on you httpstcozv2pt6trk9
569620102389350401,Virgin America,positive,virginamerica always xoxo
569619569372823552,Virgin America,negative,virginamerica why cant we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated
569618527948115968,Virgin America,negative,virginamerica youd think paying an extra 100 bucks rt for luggage might afford you hiring an extra hand at sfo lame
569616490380439552,Virgin America,positive,virginamerica best customer service rep in the world irmafromdallas takes the cake
569615109363929088,Virgin America,neutral,virginamerica can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service 
569614365755899905,Virgin America,negative,virginamerica please provide status for flight 769  i cant imagine its on time as the web indicates  dude to weather here andor dallas
569614024578600960,Virgin America,positive,virginamerica you have amazing staff amp super helpful as i just ran the waltdisneyworld princesshalf they have spoiled me with comfort
569609971383586817,Virgin America,negative,virginamerica i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face 
569608328998887424,Virgin America,negative,virginamerica question is it not possible to book a seat for an infant under 2 its not giving me the option but we want a seat for him
569599867716132864,Virgin America,positive,always have it together youre welcome rt virginamerica jessicajaymes youre so welcome
569596445680115712,Virgin America,positive,virginamerica flight home to dc sunset globe in backtowinter back to work refreshed httptcovx9vbctdlf
569596097540132864,Virgin America,negative,virginamerica i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy
569594386066984960,Virgin America,negative,virginamerica does that mean you dont have a policy for destroyed luggage
569586660909973504,Virgin America,neutral,virginamerica is there special assistance if i travel alone w2 kids and 1 infant priority boarding
569580805036453888,Virgin America,positive,virginamerica thank you for checking in tickets are purchased and customer is happy 
569575679722786816,Virgin America,neutral,virginamerica is your website ever coming back online
569575003248676864,Virgin America,neutral,virginamerica   is flight 713 from love field to sfo definitely cancelled flightled for monday february 23
569574973662232576,Virgin America,neutral,virginamerica is flight 0769 out of lga to dfw on time
569574961158815745,Virgin America,neutral,virginamerica my drivers license is expired by a little over a month can i fly friday morning using my expired license
569572942381649920,Virgin America,negative,virginamerica having problems flight booking problems on the web site keeps giving me an error and to contact by phone  phone is 30 minute wait
569572740723712001,Virgin America,negative,virginamerica how do i reschedule my cancelled flightled flights online the change button is greyed out
569566981835218944,Virgin America,negative,virginamerica i rang but there is a wait for 35 minutes i can book the same ticket through a vendor fix your site
569564853460807680,Virgin America,negative,virginamerica got a flight we were told for 450 todaychecked my email and its for 450 tomorrow this is unacceptable
569564610837086209,Virgin America,negative,virginamerica our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today12
569562202405019650,Virgin America,negative,virginamerica why dont any of the pairings include red wine only white is offered  redwineisbetter
569541127340040192,Virgin America,negative,virginamerica is the website down
569540405676654592,Virgin America,negative,virginamerica  your site seems a little wonked right now may want to have a look tried on two browsers no css httptco8qsqmm7kf2
569494748341407744,Virgin America,negative,virginamerica im disappointed that the agent at the designated silver status check in line dullesairport closed to assist all pasengers
569482263345307648,Virgin America,neutral,virginamerica plans to include austin to its dallas route  topnews arab emirates httptcoaqzwecokk2
569477692166316033,Virgin America,negative,virginamerica is it normal to receive no reply from central baggage baggageissues smh
569461469042966528,Virgin America,negative,virginamerica at logan airport and waiting to checkin for my 9am flight checkin desk not open  why
569459618881019905,Virgin America,neutral,virginamerica to jump into the dallasaustin market  dallasnews httptcoewwgi97gdx
569452063920226304,Virgin America,neutral,virginamerica beats eps views takes on southwestair va luv  investors business daily httptcoflwmgdahxu
569447071910105089,Virgin America,neutral,virginamerica lister to my show my on monday 1230 130
569429411646156800,Virgin America,neutral,virginamerica to begin dallasaustin flights in april  889 ketr httptcossuvwwkyhh
569369239183872000,Virgin America,negative,virginamerica congrats you just got all my business from ewr to sfolax fuck you united fl1289 sfoewr was the clincher
569368160291463168,Virgin America,negative,virginamerica  i applied over 2 weeks ago havent heard back and im flying this week disappointed
569356387785900032,Virgin America,neutral,virginamerica id love to know what your policy is for damaged luggage
569354267854704641,Virgin America,positive,virginamerica thank you for the follow
569351220097216512,Virgin America,negative,virginamerica  too many apologies you r the worse airlines dont even respond to your cudtomers
569348775631675392,Virgin America,negative,virginamerica shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me
569324558999691264,Virgin America,neutral,virginamerica ttinac11 i dm you
569323106210152448,Virgin America,neutral,virginamerica can you please have flights in  sjc  i have no choice but to fly southwest to vegas 
569323082701275138,Virgin America,negative,virginamerica too bad you say it takes 10 to 14 days via your confirmation email when i inquired after 3 weeks you claim 6 to 8 weeks
569318651502989312,Virgin America,negative,virginamerica flight from bos gt las tomorrow was cancelled flightled no notification wait times are 1 hour will you rebook on another airline
569318130356502528,Virgin America,positive, rt virginamerica youve met your match got status on another airline upgrade restr httptcorhkamx9vf5 httptcopyalebgkjt
569316358845911040,Virgin America,positive,virginamerica only way to fly elevate gold
569311498301870080,Virgin America,neutral,virginamerica if only you guys had flights from cmh
569311060903268352,Virgin America,negative,virginamerica a lot of apologies being thrown out to customers from what i can seevery sad thanks for nothing worst airline ever
569310635986546688,Virgin America,negative,virginamerica  for all my flight stuff wrong and did nothing about it had worst flight ever
569305113589714944,Virgin America,neutral,virginamerica having an issue finding a missing item on a plane can you help me find which airport my plane headed to next
569304436612444160,Virgin America,positive,virginamerica you will match my americanairlines status cool
569304208534597632,Virgin America,neutral,virginamericayouve met your matchgot status on another airline upgrade  httptcoh952rdktqy asarcoesar  
569304030847090688,Virgin America,negative,virginamerica trying to book a flight with you guys and your website wont let me about to lose my business
569303931916038144,Virgin America,negative,virginamerica you suck
569298165855338497,Virgin America,positive,virginamerica thanks
569290361870426112,Virgin America,negative,virginamerica just dmd same issue persisting
569282249717194754,Virgin America,negative,virginamerica because we never recd cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids
569277854950817792,Virgin America,negative,virginamerica trying to book a flight amp your site is down 
569277352129138688,Virgin America,negative,virginamerica you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didnt do anything
569263837448269826,Virgin America,negative,virginamerica you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed  expected better
569262527281913857,Virgin America,positive,virginamerica i love your guys song were dancing to it for our high school dance revue
569262225900359680,Virgin America,negative,virginamerica your website is down and im trying to check in
569261347688607744,Virgin America,positive,virginamerica done thank you for the quick response apparently faster than sitting on hold 
569261128532041728,Virgin America,neutral,virginamerica nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me
569260526976544768,Virgin America,positive,virginamerica cool picture of another virginamerica plane off our wing what a site httptco5b2agfd8c4
569253311813185537,Virgin America,positive,virginamerica keep up the great work 
569253236093267969,Virgin America,positive,virginamerica my goodness your people love field are amazing under pressure from texas beatstheothers in crisis please fly me to ny
569250469178175488,Virgin America,positive,virginamerica thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously
569248437050302464,Virgin America,neutral,virginamerica can you please get me to the new york area before monday afternoon
569248400836726786,Virgin America,positive,virginamerica thanks so much for the awesome support you guys rock
569247769166266368,Virgin America,negative,virginamerica seats in row 8 dont recline should mention that on your website soreback
569247394002563072,Virgin America,negative,virginamerica flight 404 delayed 2 hours in la due to mechanical problems handle like pros but you could have tossed us a free drink
569244860286263297,Virgin America,negative,virginamerica why cancelled flight flights today no precipitation to be scared of  
569240250192670720,Virgin America,positive,virginamerica twitter team you guys killed it for rescheduling me asap thank you
569238877178716161,Virgin America,negative,virginamerica you guys charged me 100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it whats the deal
569237252154372097,Virgin America,negative,virginamerica cant access your website from safari on iphone 6 seems to work on mac and ipad need iphone to add passbook
569236471690829825,Virgin America,neutral,virginamerica on ipad and iphone clicking the checkin link in the email i received at 24hrs before flight
569236251129163777,Virgin America,negative,virginamerica your mobile site is broken shows headerelevateusernumofpointsavailable  0  number points wont let me checkin
569230983075115010,Virgin America,negative,virginamerica i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin
569229785500680192,Virgin America,negative,virginamerica why cancelled flight flight vx413 one sec its delayed on my to airport the next its cancelled flightledgonna email or call me to reschedule
569226875349835776,Virgin America,negative,virginamerica i did it but there was a problem in the link from the email for checkin thanks
569224234150404096,Virgin America,negative,virginamerica had to change to another airline to get to dc today  why is united able to land in dc but not you cost me 800 ugh
569223788639821824,Virgin America,negative,virginamerica i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one 
569222494952886272,Virgin America,positive,virginamerica when are you putting some great deals from pdx to las or from las to pdx show me your love httptcoeniqg0buzj
569221440794271745,Virgin America,positive,virginamerica wish i can afford to fly with you next friday  going back home love everything  about your airline
569221156504530944,Virgin America,negative,virginamerica  how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad
569220232293720066,Virgin America,neutral,virginamerica its just a bug report guys
569218762907324416,Virgin America,negative,virginamerica hold times at call center are a bit much
569212570478911489,Virgin America,positive,virginamerica like httptcovpqem31xuq
569211675108179968,Virgin America,negative,virginamerica site down help
569209566715469824,Virgin America,positive,virginamerica you have the best flight attendant ever httptcopxdel1nq3l
569208480793567233,Virgin America,positive,awesome rt virginamerica watch nominated films at 35000 feet meetthefleet oscars httptcodnstitrzwy
569205125278859265,Virgin America,positive,virginamerica thanks so much
569204272795004928,Virgin America,negative,virginamerica trying to reset my password email never arrives help
569202691185909760,Virgin America,positive,virginamerica the only airline based in silicon valley disruption fcmostinnovative incubator  fastcompanys httptcowu3lbcncr9
569201943131738113,Virgin America,positive,virginamerica very nicely done 
569200619430420480,Virgin America,positive,virginamerica im looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink 
569200606595952640,Virgin America,negative,virginamerica what is the reason  for the delay of the departure of vx 413 from jfk this afternoon
569198782421663745,Virgin America,negative,virginamerica is todays flight from palm springs ca to jfk in ny cancelled flightled
569198104806699008,Virgin America,positive,virginamerica hahaha virginamerica you guys are amazing i love you guys
569197967959154688,Virgin America,positive,virginamerica sounds like fun 
569197611393163264,Virgin America,neutral,virginamerica any updates on flight 413 from jfk gt lax
569197515993534464,Virgin America,neutral,virginamerica spruce moose
569192778468626432,Virgin America,negative,virginamerica the css on your site is a 404 right now please fix site unusable
569182336715243520,Virgin America,negative,virginamerica were on flight 910 vegas to boston today checked in online but our bag count didnt register can i fix that somehow
569180623165915137,Virgin America,positive,virginamerica classiq luv virgin america greetingz
569179517522046977,Virgin America,negative,virginamerica hi im trying to do checkin but the website is not working i tried 3 different browsers and the problem continues
569176777056079874,Virgin America,positive,virginamerica thanks for your great customer service today amp for helping me get all my travel sorted out
569165709516759042,Virgin America,positive,virginamerica thanks guys sweet route over the rockies airplanemodewason
569110766235877376,Virgin America,positive,virginamerica love the 90s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee
569083230361673728,Virgin America,negative,virginamerica  the passenger in 7d flt 338 that assaulted me shouldnt have flown i trust hes banned crew filed report to faanews
569028851860254720,Virgin America,negative,virginamerica current bug on website shows select departure city when selecting destination city httptcosllyibe2vq
569022319437357056,Virgin America,negative,virginamerica luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help
569020707113476096,Virgin America,positive,virginamerica thank you for the easy itinerary shift for impending weather quick painless amp free
569018352464588800,Virgin America,neutral,virginamerica if youd love to see more girls be inspired to become pilots rt our free woaw event march 28 at abq httptcorfxlv1kgdh
569011849976348672,Virgin America,positive,virginamerica thanks good times there and back vodkatonics the entire flightsfo
568989005162766337,Virgin America,neutral,virginamerica beats expectations shares take off  santa cruz sentinel httptcoqm9dqbai6g
568977439398821888,Virgin America,neutral,virginamerica any plans to start flying direct from dal to las
568977175149293570,Virgin America,neutral,virginamerica big lovegratitudempower w httptco1agr9kncpf werin oscars2105 vipswagbags avalonhollywood httptcoybmbgs0dhn
568972394297077760,Virgin America,positive,virginamerica youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up
568945958970531840,Virgin America,negative,virginamerica requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member
568945265899483136,Virgin America,neutral,virginamerica grand budapest hotel oscarscountdown
568943244027006976,Virgin America,neutral,virginamerica this is what you missed newsvp next trip to the 407
568942331921092608,Virgin America,negative,virginamerica wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience
568940002849255425,Virgin America,negative,virginamerica there is something wrong with you website in safari iphone
568929979981033472,Virgin America,positive,virginamerica thanks for gate checking my baggage on your full flight dfwlax 883 and giving me early boarding too sweet
568929026644975616,Virgin America,negative,virginamerica already checked in so the page expired x
568928741298012160,Virgin America,negative,virginamerica boo for a not refunding a seat upgrade fee i did not want to buy in the first place
568928605226426370,Virgin America,neutral,virginamerica shares rise on q4 financial results  usa today httptcolfs4pefe6y
568926018049691648,Virgin America,neutral,virginamerica adds pillows instead of lieflat seats in first class arms race httptcorgywjbbhm4
568923762764095488,Virgin America,positive,virginamerica i see what you did there 
568920614716600320,Virgin America,neutral,virginamerica way to take advantage of mayweatherpacquiao 
568920221882257408,Virgin America,neutral,virginamerica you know im flying virgin for the fight mayweatherpacquiao
568911350656675841,Virgin America,positive,virginamerica your inflight team makes the experience amazing
568910590921609216,Virgin America,positive,virginamerica cutest salt and pepper shaker ever just when i think you guys cant get any better you just do httptcovc6keulg2j
568901823215448064,Virgin America,negative,virginamerica moved my seat with no notice better seat is cabin select not behind the row i selected disappointed
568898405189038080,Virgin America,neutral,virginamerica shares up on 4q results  iol httptcoxz6qeg3nef
568897315458691072,Virgin America,positive,virginamerica fav airline
568890074164809728,Virgin America,positive,virginamerica we have a hot female pilot sweet dca to sfo 
568890062286385153,Virgin America,neutral, when are you guys going to start flying to paris virginamerica lizautter youre welcome
568884848632279041,Virgin America,neutral,virginamerica what is your policy on flying after surgery  i am still waiting for answer so i can tell me doctor
568882014415249408,Virgin America,negative,virginamerica already contacted central baggage amp sent dm renttherunway is charging me for the dress that was in the lost suitcase help
568874645564362752,Virgin America,positive,virginamerica thank you
